aster_i aster_j calculated_force angle
--- asteroids vs asteroids ---
0 1 0.00452332 0.785398
0 2 0.123647 0.785398
0 3 0.00293252 0.785398
0 4 0.00173964 0.602331
1 2 0.00749154 0.785398
1 3 0.0598813 0.246965
1 4 0.00709811 0.0109806
2 3 0.00447935 0.785398
2 4 0.00239319 0.550193
3 4 0.0150031 -0.111871
--- asteroids vs planets ---
0 0 0.0386379 -0.785398
0 1 0.0988407 -0.244577
0 2 0.0552068 -0.785398
0 3 0.0486978 -0.102383
0 4 0.019164 -0.105839
1 0 0.0708048 -0.652572
1 1 0.0249312 -0.785398
1 2 0.0697707 -0.785398
1 3 0.021296 0.785398
1 4 0.0186557 0.785398

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.00452332 0.785398
0 2 0.123647 0.785398
0 3 0.00293252 0.785398
0 4 0.00173964 0.602331
1 2 0.00749154 0.785398
1 3 0.0598813 0.246965
1 4 0.00709811 0.0109806
2 3 0.00447935 0.785398
2 4 0.00239319 0.550193
3 4 0.0150031 -0.111871
--- asteroids vs planets ---
0 0 0.0386379 -0.785398
0 1 0.0988407 -0.244577
0 2 0.0552068 -0.785398
0 3 0.0486978 -0.102383
0 4 0.019164 -0.105839
1 0 0.0708048 -0.652572
1 1 0.0249312 -0.785398
1 2 0.0697708 -0.785398
1 3 0.021296 0.785398
1 4 0.0186557 0.785398

******************** ITERATION *******************
